AoA_deg,CL_wing,CD_wing,CM_wing,CL_induced,Efficiency,Span_efficiency
-4.000,-0.3812,0.01823,-0.0142,0.00412,0.312,0.881
-3.000,-0.2701,0.01344,-0.0098,0.00218,0.421,0.889
-2.000,-0.1589,0.01012,-0.0054,0.00095,0.532,0.894
-1.000,-0.0478,0.00842,-0.0011,0.00022,0.614,0.897
0.000,0.0634,0.00821,0.0032,0.00038,0.689,0.899
1.000,0.1745,0.00901,0.0075,0.00145,0.721,0.901
2.000,0.2857,0.01042,0.0118,0.00308,0.748,0.902
3.000,0.3968,0.01241,0.0161,0.00528,0.769,0.903
4.000,0.5080,0.01498,0.0204,0.00804,0.783,0.904
5.000,0.6191,0.01812,0.0247,0.01138,0.793,0.904
6.000,0.7303,0.02184,0.0290,0.01528,0.799,0.905
7.000,0.8414,0.02614,0.0333,0.01976,0.802,0.905
8.000,0.9409,0.03218,0.0364,0.02468,0.798,0.904
9.000,1.0214,0.04012,0.0388,0.02912,0.781,0.902
10.000,1.0821,0.05018,0.0401,0.03298,0.756,0.899
11.000,1.1124,0.06284,0.0408,0.03481,0.718,0.894
