Airfoil,Airspeed_ms,Angle_of_Attack_deg,Lift_Coefficient,Drag_Coefficient
NACA 0012,15,4,0.430,0.0098
NACA 0012,20,4,0.430,0.0098
NACA 0012,25,4,0.430,0.0098
NACA 0012,30,4,0.430,0.0098
NACA 0012,35,4,0.430,0.0098
NACA 0012,40,4,0.430,0.0098
NACA 0012,45,4,0.430,0.0098
NACA 0012,50,4,0.430,0.0098
NACA 0012,55,4,0.430,0.0098
NACA 0012,60,4,0.430,0.0098
NACA 2415,15,4,0.620,0.0112
NACA 2415,20,4,0.620,0.0112
NACA 2415,25,4,0.620,0.0112
NACA 2415,30,4,0.620,0.0112
NACA 2415,35,4,0.620,0.0112
NACA 2415,40,4,0.620,0.0112
NACA 2415,45,4,0.620,0.0112
NACA 2415,50,4,0.620,0.0112
NACA 2415,55,4,0.620,0.0112
NACA 2415,60,4,0.620,0.0112
NACA 4412,15,4,0.820,0.0148
NACA 4412,20,4,0.820,0.0148
NACA 4412,25,4,0.820,0.0148
NACA 4412,30,4,0.820,0.0148
NACA 4412,35,4,0.820,0.0148
NACA 4412,40,4,0.820,0.0148
NACA 4412,45,4,0.820,0.0148
NACA 4412,50,4,0.820,0.0148
NACA 4412,55,4,0.820,0.0148
NACA 4412,60,4,0.820,0.0148
